,cod_tse,cod_ibge,nome_mun,uf,estado,12,13,14,15,16,21,22,27,30,44,80,status
3495,63835,3514106,DOIS CÓRREGOS,SP,SÃO PAULO,"2,25","32,37","0,12","4,20","00,00","0,10","60,10","0,01","0,38","0,45","0,04",4
3496,63851,3514205,DOLCINÓPOLIS,SP,SÃO PAULO,"1,68","59,59","00,00","3,42","00,00","00,00","35,13","00,00","0,06","0,12","00,00",1
3497,63878,3514304,DOURADO,SP,SÃO PAULO,"1,88","40,59","0,04","6,07","00,00","0,06","50,84","00,00","0,22","0,31","00,00",4
3498,63894,3514403,DRACENA,SP,SÃO PAULO,"2,13","27,11","0,04","4,39","0,02","0,02","65,51","0,00","0,38","0,39","0,02",4
3499,63916,3514502,DUARTINA,SP,SÃO PAULO,"2,22","38,92","0,05","4,31","0,05","0,03","53,72","00,00","0,36","0,28","0,05",4
3500,63932,3514601,DUMONT,SP,SÃO PAULO,"2,28","34,70","0,04","2,96","00,00","00,00","59,40","00,00","0,39","0,24","00,00",4
3501,63959,3514700,ECHAPORÃ,SP,SÃO PAULO,"1,37","35,67","0,05","3,96","00,00","00,00","58,24","00,00","0,23","0,44","0,03",4
3502,63975,3514809,ELDORADO,SP,SÃO PAULO,"1,03","44,41","0,03","3,25","0,03","0,01","50,31","00,00","0,19","0,71","0,04",4
3503,63991,3514908,ELIAS FAUSTO,SP,SÃO PAULO,"2,07","31,13","0,04","3,11","0,01","0,06","62,79","0,01","0,30","0,46","0,02",4
3504,64017,3515004,EMBU DAS ARTES,SP,SÃO PAULO,"3,78","53,90","0,07","5,77","0,03","0,04","34,91","0,02","0,55","0,85","0,08",1
3505,64033,3515103,EMBU-GUAÇU,SP,SÃO PAULO,"3,85","46,97","0,08","6,68","0,03","0,07","40,32","0,01","0,54","1,36","0,09",2
3506,64050,3515202,ESTRELA D&apos;OESTE,SP,SÃO PAULO,"1,55","31,52","0,06","5,37","00,00","0,02","60,79","0,02","0,25","0,40","0,02",4
3507,64076,3515301,ESTRELA DO NORTE,SP,SÃO PAULO,"2,16","52,98","00,00","4,68","0,05","0,05","39,77","0,05","0,15","0,10","00,00",1
3508,64092,3515400,FARTURA,SP,SÃO PAULO,"2,47","43,58","0,06","5,48","0,03","0,08","47,48","00,00","0,31","0,44","0,06",3
3509,64114,3515509,FERNANDÓPOLIS,SP,SÃO PAULO,"2,05","35,69","0,06","4,93","0,01","0,02","56,44","0,02","0,41","0,35","0,03",4
3510,64130,3515608,FERNANDO PRESTES,SP,SÃO PAULO,"1,97","32,75","0,03","4,00","0,03","0,05","60,67","00,00","0,27","0,21","0,03",4
3511,64157,3515707,FERRAZ DE VASCONCELOS,SP,SÃO PAULO,"3,86","52,00","0,06","5,63","0,01","0,05","37,16","0,02","0,39","0,71","0,10",1
3512,64173,3515806,FLORA RICA,SP,SÃO PAULO,"0,81","50,49","00,00","2,42","00,00","00,00","45,65","00,00","0,27","0,36","00,00",1
3513,64190,3515905,FLOREAL,SP,SÃO PAULO,"1,52","42,32","0,05","4,47","00,00","00,00","51,30","0,05","0,10","0,10","0,10",4
3514,64211,3516002,FLÓRIDA PAULISTA,SP,SÃO PAULO,"1,21","36,71","0,02","3,35","0,02","0,02","58,12","00,00","0,17","0,36","0,03",4
